"소득","가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액"
1068300,966033,749207,216827
10683190,8423013,6626455,1796557
1068372,668787,661087,7700
1068572,1607983,1360713,247270
1068750,653090,638090,15000
1068833,929537,764653,164883
10688470,5514725,2956922,2557803
1068877,902994,902994,0
1068886,897624,897624,0
10688989,6993171,4025867,2967304
1068917,1020256,941436,78820
1069000,276055,239285,36770
10690055,6110577,3796160,2314417
10690520,4098718,1412848,2685870
1069136,1127048,1067048,60000
1069497,1157966,1072632,85333
1069610,1367330,1337330,30000
10697586,5991548,3328017,2663531
10698580,7923903,5515418,2408485
1069880,416691,348836,67855
10699500,7106376,4625609,2480767
1070000,1358366,973835,384531
10700200,5710513,4162798,1547715
10702630,6005851,3295542,2710308
10704840,6934353,4255331,2679022
1071112,1796671,1758337,38333
1071147,522277,438187,84090
1071430,1672689,1583689,89000
10717220,6828980,3809477,3019503
10717375,7304290,5145315,2158975
10721652,4409168,1688031,2721137
1072453,1218930,998930,220000
10724776,22104837,20380517,1724320
1072480,553870,528870,25000
1072487,559062,559062,0
10725390,6110294,3436574,2673720
10725390,6810023,3926273,2883750
1072667,1533976,1435643,98333
10727252,20677739,17903228,2774511
10730120,15257832,13772504,1485328
1073020,1242327,1025660,216667
10731747,10117915,8836368,1281547
1073331,2135369,1901842,233526
10733597,5627662,3005937,2621725
1073363,874932,748954,125979
10734400,3786747,2387392,1399355
10741893,8951963,5570752,3381211
1074300,1732968,1401568,331400
1074470,1232713,1107233,125480
1074490,1410897,1105547,305350
1074555,1403268,1386602,16667
1075000,1324384,1322400,1984
1075117,539800,304467,235333
10756750,7819577,2915934,4903643
1075750,869970,584970,285000
10758488,13186387,10890732,2295655
1076000,1056127,1042460,13667
1076000,1111588,1094921,16667
1076000,970263,688263,282000
1076297,1455537,1114377,341160
1076413,1606877,1388543,218333
1077000,1213533,1213533,0
10770471,7124337,5189867,1934470
10772000,1336720,801720,535000
1077260,985850,932183,53667
10773150,7195069,3909617,3285452
1077805,853981,795981,58000
1078000,1926408,1532648,393760
10780909,6178134,4417048,1761087
1078097,934423,730090,204333
1078343,630409,508742,121667
10784500,6576033,3846797,2729236
10787283,4973690,3063114,1910577
1078995,1535872,1016839,519033
1079067,1067570,710237,357333
1079250,575090,575090,0
1079704,1366932,1326932,40000
1079750,1134787,947120,187667
1080000,809795,791795,18000
10800114,17794551,4753182,13041369
1080040,3922348,3289970,632378
1080177,800147,493480,306667
10802066,12316162,6708151,5608011
1080230,1654754,1633547,21207
1080247,669893,636090,33803
1080463,830342,800009,30333
1081253,1390217,1023550,366667
10812657,13101871,10192704,2909167
1081759,1100603,1052936,47667
1081970,834208,721663,112545
10822279,5364808,4231671,1133137
1082513,617364,600698,16667
10825170,13635583,11210465,2425118
1082580,726461,323077,403384
1082930,991217,679082,312135
1083000,780581,560961,219620
1083163,734183,619850,114333
1083190,1273919,1207419,66500
1083333,2042965,1248440,794525
1083760,1453219,1190719,262500
10839740,6154405,5591760,562645
10842986,6785210,2544856,4240354
1084871,815709,746803,68907
10849609,8726134,5835296,2890838
10851240,4847424,2937304,1910120
10852870,7329989,4919698,2410291
1085290,2875035,2875035,0
10856000,8936022,7824365,1111657
1086150,564835,561835,3000
1086253,2217973,1887748,330225
1086417,804537,671703,132833
1086667,1092412,836579,255833
1086860,1404352,1063702,340650
1086888,1129634,897968,231667
1087167,1124080,1003080,121000
1087323,2067714,1007714,1060000
1087457,545626,528960,16667
1087920,1598943,500610,1098333
1088093,686601,413268,273333
10885827,8799989,2966316,5833673
1089333,1393784,1095451,298333
1089390,1156536,1054536,102000
1089400,677016,677016,0
10894150,7114400,5272610,1841790
10897542,7068670,4941998,2126673
1089783,1655925,1520145,135780
1089845,1087405,1006738,80667
1089920,957781,891115,66667
10900000,3028296,2319781,708515
10900000,4488106,2583091,1905015
1090170,1863888,1424284,439603
1090172,453304,453304,0
10904483,6542536,449676,6092860
10904498,6735891,5098986,1636905
1090740,1555183,1495183,60000
1090750,842820,827920,14900
1090993,1358794,855294,503500
10910175,8879629,7424551,1455078
10911000,4595010,2970890,1624120
1091340,598006,578006,20000
1091560,516933,446933,70000
10915749,5138074,2563304,2574770
10917500,4499094,3461384,1037710
1091883,2208444,2185777,22667
1092400,1083194,678884,404310
10926141,3619960,1374580,2245380
1093023,715130,688463,26667
1093208,886133,875793,10340
1093333,1132159,1012159,120000
1093333,726977,716977,10000
1094000,1367693,1357693,10000
1094417,401529,318195,83333
10946000,3762872,2927972,834900
10946000,3834197,2950732,883465
10949703,11610092,7462978,4147114
1095582,938800,897983,40817
10956000,6678386,5009576,1668810
10957307,5053958,3264431,1789527
10961863,11341686,8033912,3307775
1096355,1225060,1086887,138173
10966080,6653016,3373396,3279620
1096620,1375318,1228541,146777
10969890,8035756,4518123,3517633
1097461,658127,458127,200000
10976397,9920123,5549769,4370353
1097697,953637,873637,80000
1097778,1327947,1136180,191767
10978564,9594587,6623698,2970890
1098231,941638,869638,72000
1098243,1238840,1118047,120793
1098260,1477017,1344370,132647
10986223,7689008,5099388,2589620
1098726,787044,413710,373333
1098747,1226097,1211097,15000
1099000,2700480,2410480,290000
1099487,732405,732405,0
10995083,3260073,1035077,2224997
1099520,901869,873789,28080
10996887,7884962,5750312,2134650
1099747,386810,206410,180400
1099807,606817,552404,54413
1099830,349623,239940,109683
1100000,1269644,1138394,131250
1100000,1322226,1256021,66205
1100000,1417118,1313648,103470
1100000,1466096,1466096,0
1100000,1497809,1395159,102650
1100000,1768520,1561853,206667
1100000,2072100,1812100,260000
1100000,2102859,2048969,53890
1100000,370736,359403,11333
1100000,580787,520454,60333
1100000,705250,705250,0
1100000,825607,648107,177500
1100000,836739,592189,244550
1100000,855330,785330,70000
1100000,886197,796627,89570
11000000,3977955,3681953,296001
11008699,6297060,3493959,2803101
1101133,859317,849317,10000
11011360,6448924,4309874,2139050
110136,1087100,980850,106250
11018517,7197846,4524779,2673066
1101907,818916,638883,180033
1102080,1464180,1434180,30000
1102167,1327340,1269340,58000
1102250,720325,720325,0
1102287,919890,583223,336667
11026720,5306717,2482607,2824110
11028137,15634517,14556022,1078495
1103000,1263310,1263310,0
1103082,871598,746098,125500
11031025,5109847,2805057,2304790
11031603,1990903,1185726,805177
1103203,838283,732789,105493
11034761,8593417,3745228,4848189
11035498,8167969,5514288,2653682
1103750,519323,509323,10000
1104067,1621662,1129322,492340
1104243,592790,555790,37000
11044918,5307610,3122246,2185363
1104576,832260,792257,40003
11048277,6061027,4399498,1661529
1105000,915370,729487,185883
11050000,12754892,11272572,1482320
1105100,2377853,2354520,23333
1105100,953560,953560,0
1105280,455884,354884,101000
11054658,8002286,5921761,2080525
1105495,443908,427241,16667
11055673,3991667,1896586,2095081
1105764,1123047,1123047,0
1106000,1303363,1148363,155000
1106000,1491751,826431,665320
1106000,448260,340260,108000
1106000,947270,857565,89705
11060000,10049557,6522037,3527520
11068173,9541721,7165658,2376063
11068800,9081314,6215254,2866060
11070827,6823269,3017019,3806250
1107210,471380,466320,5060
1107357,1175451,1045451,130000
1107640,1899061,1795728,103333
1107660,1232994,860494,372500
1107667,1469431,1371709,97721
1107690,1797669,1275529,522140
1107797,912853,801520,111333
1107833,982563,895897,86667
11078440,5481671,4234321,1247350
1107907,1845349,1257434,587915
1108045,990860,953710,37150
1108100,2149112,2077582,71530
1108167,2941276,2484609,456667
11082980,4041253,2181473,1859780
11084583,9272015,5198045,4073970
11089217,6921481,4634856,2286626
1109000,961854,815601,146253
11091236,9211463,3964779,5246684
1109167,729340,685630,43710
11092068,3698108,1179721,2518387
1109333,830720,678553,152167
11093943,5614233,3287706,2326527
11099487,5372006,4191878,1180129
1110000,1676579,1406514,270065
1110000,1708147,1628147,80000
1110000,1928704,1828704,100000
1110043,1019359,395606,623753
1110217,653247,484913,168333
11102287,4066844,2500154,1566690
1110333,863880,863880,0
11104743,7473769,4665206,2808563
1110497,1393456,1022266,371190
1110667,933007,599673,333333
11115580,8286330,6008104,2278227
11115580,9131096,6852436,2278660
1111588,1336638,1179438,157200
1111750,721289,586289,135000
11118237,3131836,2479836,652000
11119165,5257133,1914094,3343039
1112000,2040115,1912385,127730
11121320,9476642,7014275,2462367
1112427,1566174,1318341,247833
1112439,1185341,1172008,13333
11128385,5105706,2421030,2684677
1113649,1710514,1594680,115833
1113750,2259025,1699025,560000
1113870,1971228,1581613,389615
1114000,775140,635140,140000
11141960,3935913,2303585,1632328
1114326,1573209,1382542,190667
1114680,1600779,1238554,362225
11149333,4939392,3478703,1460688
11150450,5283132,2154542,3128590
11150501,9025160,3832907,5192253
1115347,1909105,1280022,629082
1115548,961727,917910,43817
1115667,970483,940483,30000
11160700,7610596,3769850,3840747
