"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
5296378,2661702,2634676,5,10,8
5297844,3097159,2200685,5,09,7
5298040,4376724,921316,4,07,5
529885,529885,0,1,01,1
529960,405487,124473,1,01,1
5300790,3179705,2121085,5,10,8
5303084,3542121,1760963,5,10,8
5304329,2761135,2543195,4,08,7
530439,391753,138686,1,01,1
5306865,4926535,380330,3,05,4
5308032,3822555,1485477,5,09,8
5308270,4291070,1017200,4,07,5
5309064,3773537,1535527,5,09,8
530940,490940,40000,1,02,2
5310037,3861522,1448516,4,08,6
5310966,4529698,781268,5,09,8
5312047,3835673,1476374,5,09,8
5312943,4213519,1099424,5,09,8
5313771,3285656,2028115,5,10,8
531441,516441,15000,1,01,1
5315164,3845980,1469183,4,08,7
5318393,2611259,2707134,5,09,8
5318477,4557577,760900,3,05,4
5320091,1976646,3343445,4,08,6
532038,234705,297333,1,01,2
5321686,3093652,2228034,5,10,8
5322651,3528361,1794290,5,09,8
532361,428367,103993,1,02,2
5331693,4884713,446980,5,10,8
5332384,3649774,1682610,4,08,7
5333174,4724264,608910,5,09,7
5334461,2446130,2888331,5,09,8
5334918,4115756,1219162,4,08,7
5335709,2114881,3220828,5,10,8
533587,463587,70000,1,01,1
533615,469849,63766,1,02,2
5336644,3803419,1533225,5,09,7
533684,497017,36667,1,01,1
533720,533720,0,1,01,1
5340681,4118255,1222427,4,08,6
534151,534151,0,1,01,1
534189,332189,202000,1,01,2
5342874,4695702,647172,5,09,8
5345355,3871741,1473614,3,05,4
534687,501353,33333,1,01,1
5348270,3466250,1882020,5,09,8
5348348,3360914,1987434,5,10,8
5351036,2949926,2401110,4,08,7
5351430,3194874,2156555,5,09,7
5353901,3472321,1881580,5,10,8
5354641,2838366,2516275,5,09,8
5355874,2919787,2436087,5,10,8
535599,518932,16667,1,01,1
5356665,3661660,1695006,5,10,8
5360186,4402550,957637,5,09,7
5360436,4338933,1021503,4,08,7
536093,510749,25343,1,01,1
536227,536227,0,1,01,1
5362532,4422962,939570,3,06,5
5365241,2595008,2770233,5,10,8
5366833,2094540,3272293,5,09,7
5369913,4408738,961175,4,08,6
5370188,3684793,1685395,3,06,5
537128,392978,144150,1,02,2
537150,537150,0,1,01,1
537197,520525,16672,1,02,2
5373238,4829342,543896,5,10,8
5374119,3411415,1962703,4,08,7
5374866,3747051,1627815,5,09,8
5376544,3822660,1553883,4,07,5
5377536,4667654,709882,4,08,7
5378250,3219807,2158444,5,09,8
5378770,3270959,2107811,5,10,8
5379080,3505568,1873512,5,10,8
537970,462970,75000,1,02,2
5382208,3154571,2227636,5,09,8
5382897,5212897,170000,4,08,7
5383388,4120258,1263130,4,08,7
538571,458571,80000,1,01,1
5385774,3215071,2170703,5,09,8
538760,322113,216647,1,02,2
5387762,3403417,1984344,4,08,7
538858,510108,28750,1,02,2
5390004,2053549,3336455,5,10,8
5390484,3511961,1878523,5,10,8
539154,501694,37460,1,01,1
5392758,2972283,2420475,5,10,8
5392856,4049546,1343310,4,08,7
5394072,4255661,1138411,4,07,5
5395657,3846031,1549626,4,08,7
5397595,3408455,1989140,5,10,8
539872,448205,91667,3,06,4
5399484,4278898,1120586,4,08,7
5399513,4905853,493660,4,07,5
5399848,1658088,3741760,4,08,7
5399934,722294,4677640,4,08,6
5400227,2582659,2817568,3,06,5
5400365,3528988,1871378,5,10,8
5401212,3798784,1602428,4,08,7
540388,415388,125000,1,01,1
5404021,3446304,1957717,5,09,7
540527,532520,8007,1,01,1
540675,540675,0,1,01,1
5407463,4355436,1052027,4,07,5
5410775,2788390,2622385,5,10,8
541136,506759,34377,1,01,1
5412109,3486516,1925593,5,09,8
5413115,3548764,1864351,5,09,8
